vehicle_type,energy_consumption,co2_emissions_g_per_km,maintenance_cost_annual,cost_per_km,energy_storage_capacity,mileage_km,acceleration_0_100_kph_sec,torque_Nm,lifespan_years
EV,15.65,1.47,47003.23,0.13,78.09,139678.08,8.14,267.99,12.82
ICE,6.54,128.41,86560.59,0.23,43.24,157192.26,7.49,163.73,8.39
ICE,5.82,94.57,45963.84,0.32,49.53,159934.13,10.63,199.74,7.94
ICE,10.55,110.95,83312.63,0.29,62.08,234909.99,5.66,204.54,9.88
ICE,8.8,119.21,99110.95,0.28,43.7,254721.32,9.39,253.22,12.28
ICE,6.89,145.27,79503.98,0.33,45.78,159448.01,9.02,251.25,11.26
ICE,9.53,145.81,102952.78,0.16,54.59,225531.26,10.53,228.36,10.03
ICE,8.25,134.89,80696.92,0.22,48.26,171982.2,10.83,169.2,8.0
ICE,5.7,125.55,75027.51,0.2,57.64,215557.6,7.94,169.38,10.76
EV,13.82,-0.03,50853.18,0.16,55.16,105115.24,6.51,268.7,13.61
ICE,8.91,65.7,114034.87,0.33,40.96,138289.0,9.83,180.85,8.91
EV,14.42,-5.11,45083.64,0.12,78.02,150435.27,5.41,316.13,12.17
EV,15.07,-6.12,57426.82,0.18,88.49,169789.5,4.73,298.4,7.68
EV,13.82,3.48,79490.94,0.13,76.9,118463.4,7.27,310.27,14.1
EV,14.63,-14.24,48626.28,0.11,72.79,181407.35,6.72,329.88,12.3
EV,16.18,2.54,47484.61,0.11,71.86,190901.3,6.7,352.36,9.95
ICE,7.08,141.66,78183.87,0.27,51.07,186624.61,9.99,310.13,10.05
EV,16.43,5.94,53161.56,0.09,76.65,105178.87,6.14,345.11,12.65
EV,13.64,-14.7,49313.66,0.09,69.19,150022.67,5.95,332.23,14.96
ICE,4.63,159.8,104883.05,0.32,52.45,177029.92,7.17,187.0,10.73
EV,13.47,-1.05,64484.99,0.09,76.46,172190.26,7.1,398.62,11.59
ICE,7.26,119.8,73149.51,0.29,53.62,170167.23,10.11,230.35,9.39
ICE,6.33,92.68,97743.51,0.21,56.96,150111.13,10.69,303.9,12.25
ICE,5.77,66.25,79073.36,0.25,54.51,120350.89,10.79,173.14,11.05
EV,16.7,8.14,56863.18,0.15,69.22,175134.92,6.36,250.15,10.07
EV,12.88,0.11,43094.59,0.11,84.97,107791.7,6.34,287.28,12.66
ICE,6.23,195.52,112659.4,0.22,32.09,126599.35,8.94,227.87,9.81
ICE,5.9,162.47,68975.37,0.18,58.21,168491.88,7.69,225.75,9.71
EV,15.3,1.5,42415.05,0.1,65.96,150695.88,7.27,315.71,9.08
ICE,6.73,88.03,60839.43,0.23,44.21,208911.07,11.26,176.83,10.18
ICE,7.7,104.64,73271.05,0.28,52.0,187573.36,7.9,242.21,11.91
EV,13.15,2.79,54367.39,0.11,79.98,187576.22,7.42,399.18,10.96
ICE,7.14,118.14,74999.3,0.14,41.19,219858.5,8.17,176.42,10.17
EV,17.84,5.0,62179.59,0.11,81.82,108552.25,6.02,249.97,11.7
EV,15.98,-3.39,40704.89,0.1,78.2,154850.96,6.0,303.9,11.77
EV,15.11,0.34,45569.56,0.07,80.96,125673.18,5.41,219.69,13.29
ICE,6.65,55.68,93705.67,0.24,61.11,188455.23,7.82,145.94,9.83
EV,13.7,-2.33,45826.33,0.18,77.42,145187.42,5.31,273.55,14.53
EV,13.16,-1.22,46459.59,0.12,68.89,102533.3,5.2,280.48,8.94
EV,14.63,5.43,50036.96,0.14,38.3,113555.82,7.2,228.43,11.25
ICE,7.32,65.27,59290.22,0.31,53.73,135701.54,8.05,168.82,8.07
EV,17.74,-9.83,55142.55,0.15,58.67,169676.76,6.51,326.99,11.93
ICE,6.7,156.49,94001.34,0.21,69.89,104918.43,9.76,269.04,5.12
ICE,7.83,137.76,83805.25,0.26,41.41,165664.22,7.55,154.73,6.52
EV,15.03,0.84,39080.66,0.12,66.85,180308.24,4.73,376.0,11.29
EV,11.1,-6.66,54620.61,0.17,72.03,162474.8,5.38,247.18,13.89
ICE,7.94,110.28,71807.51,0.32,52.88,120380.29,8.79,148.31,9.46
ICE,5.39,99.87,74380.66,0.2,64.4,132852.35,6.9,205.87,10.31
EV,17.24,-2.19,56929.19,0.16,80.54,182969.5,6.29,282.34,9.3
EV,12.98,2.58,56511.36,0.15,57.71,170748.56,5.81,238.75,13.05
EV,14.42,1.96,51433.88,0.06,66.76,122851.57,4.46,288.45,10.22
EV,13.8,-1.29,58071.23,0.05,78.62,112915.93,4.37,231.79,11.17
EV,8.52,2.69,62357.82,0.09,77.6,158172.64,5.84,319.33,11.62
EV,15.52,-3.12,46713.82,0.13,68.0,117789.34,6.53,181.63,14.21
EV,15.71,-1.75,56012.07,0.12,63.02,154077.74,6.32,362.17,14.28
ICE,8.13,185.25,74900.24,0.21,56.98,197203.57,9.65,187.65,13.17
EV,11.97,-0.67,42140.14,0.12,82.95,138798.95,6.13,238.18,10.68
ICE,7.54,142.14,60493.25,0.25,73.12,107969.17,8.33,244.92,6.16
EV,18.51,9.5,50239.03,0.16,65.16,158963.93,6.03,297.61,12.82
ICE,10.2,108.57,91860.08,0.27,41.01,184509.96,10.6,194.06,8.25
ICE,5.95,180.83,91447.13,0.28,48.2,144481.48,10.97,232.97,10.96
EV,15.51,-5.27,46648.62,0.11,62.09,167380.4,6.81,435.52,12.41
ICE,9.46,183.64,69649.81,0.33,46.83,264483.57,9.07,222.24,10.73
EV,15.14,-0.12,63606.59,0.11,51.48,144422.27,8.49,272.16,8.38
EV,12.36,10.07,35034.71,0.12,73.24,153085.76,4.41,234.61,15.15
EV,14.04,2.54,41669.44,0.06,76.52,139169.72,6.7,386.15,11.94
ICE,8.05,142.25,67365.56,0.25,51.74,160393.31,10.14,197.01,9.58
ICE,9.18,146.45,103516.87,0.29,47.33,143883.6,8.4,159.92,11.0
ICE,8.44,127.35,85701.01,0.14,41.15,152977.26,9.46,239.54,9.39
EV,14.38,9.69,64313.67,0.11,68.02,165718.82,4.92,372.78,13.81
EV,10.15,4.74,41536.84,0.16,71.16,168692.62,7.0,336.15,11.9
ICE,6.21,167.93,117624.59,0.26,54.42,150349.79,6.1,257.52,11.41
ICE,7.8,130.41,53934.71,0.22,46.4,93563.5,11.08,190.13,11.45
ICE,5.48,168.98,102995.19,0.25,34.85,196090.49,11.83,227.04,9.64
ICE,8.55,147.0,74798.75,0.29,40.44,164156.64,10.07,224.08,7.18
ICE,7.42,82.89,52006.31,0.2,45.98,220074.82,8.53,143.66,8.49
ICE,4.7,157.13,91635.13,0.3,35.53,200456.61,4.6,183.75,8.48
ICE,5.89,130.15,104556.83,0.18,51.11,170932.27,5.99,158.4,9.16
EV,14.75,6.41,56979.03,0.14,62.67,178574.34,7.46,324.6,13.92
ICE,6.3,144.16,82003.48,0.19,26.42,185397.58,8.41,233.27,8.86
ICE,6.79,184.96,67949.59,0.24,42.76,135314.33,8.82,238.7,8.54
ICE,5.99,129.96,74808.44,0.29,39.97,134795.33,8.84,273.15,7.99
ICE,7.69,172.59,75491.46,0.21,39.18,247440.28,5.55,135.99,7.76
EV,15.05,-0.86,48441.02,0.12,52.58,112732.6,5.74,310.44,11.23
EV,13.25,5.12,57903.72,0.11,48.3,84168.53,5.93,161.31,8.44
ICE,8.49,154.99,80800.76,0.23,44.78,181725.02,7.76,166.87,5.57
EV,15.59,-4.23,33568.11,0.09,72.44,159767.33,6.26,263.11,10.88
ICE,10.43,143.09,53428.66,0.3,64.4,182698.8,5.78,142.12,9.61
ICE,7.76,163.33,88877.02,0.21,57.67,211867.37,11.49,172.17,13.08
ICE,7.99,98.19,70378.76,0.21,19.17,193055.24,7.86,195.71,11.79
EV,14.34,0.26,38611.67,0.13,72.22,201123.06,5.13,359.56,11.02
EV,15.5,3.19,42690.44,0.15,78.27,187728.57,5.31,289.4,11.55
EV,15.34,-2.29,45907.18,0.12,77.66,99231.88,7.22,279.31,11.63
ICE,7.53,115.42,80141.4,0.21,56.25,204496.47,8.89,224.54,12.23
ICE,7.75,130.78,78949.55,0.31,44.59,138694.29,8.81,221.46,9.66
ICE,4.99,134.45,80593.55,0.21,59.21,169155.39,9.24,245.68,11.07
ICE,8.14,144.0,95989.46,0.19,50.4,191294.11,8.0,233.31,6.92
EV,11.48,-1.38,46659.23,0.15,65.17,96780.91,5.53,222.15,10.93
EV,16.0,7.57,50858.93,0.1,65.83,165137.45,7.69,389.15,10.15
ICE,6.99,123.61,51877.02,0.19,28.71,271107.56,11.79,288.85,7.43
ICE,8.61,133.23,54903.74,0.24,41.87,225283.88,10.64,243.5,10.36
EV,14.02,4.57,23642.52,0.14,59.94,152267.29,5.89,365.69,11.3
EV,13.28,8.06,38693.85,0.13,63.35,134440.0,8.06,229.64,12.33
ICE,6.77,149.76,89694.8,0.18,47.97,226516.1,10.61,288.45,10.24
ICE,8.5,193.84,99619.46,0.26,47.46,174667.37,8.68,239.78,10.31
EV,11.32,-0.52,54148.66,0.1,75.19,160150.72,4.29,335.47,10.5
ICE,6.99,131.94,69210.17,0.19,37.35,133682.65,8.09,286.56,9.64
ICE,8.67,190.57,76762.54,0.2,32.7,161403.08,9.62,280.36,10.59
EV,13.49,1.12,44504.43,0.09,69.66,78470.8,6.7,283.11,15.97
EV,18.69,3.11,53240.57,0.11,87.48,164786.52,4.21,320.58,10.02
ICE,7.67,94.5,77192.52,0.27,21.8,189853.92,8.88,226.74,16.19
ICE,5.61,65.23,70383.33,0.15,62.08,150077.13,7.91,184.49,12.1
ICE,5.71,168.33,89640.76,0.29,54.27,113841.62,7.96,166.19,12.19
EV,10.95,8.39,50142.73,0.15,84.35,108065.84,5.37,287.15,13.83
EV,14.3,-2.65,47653.79,0.15,70.14,120053.63,7.29,270.81,8.56
ICE,8.13,197.22,83289.63,0.26,51.57,185731.47,5.35,193.15,6.43
EV,18.1,-5.72,69041.37,0.16,65.32,92859.76,6.93,335.17,10.91
ICE,7.34,129.52,99143.96,0.24,58.34,151672.55,11.72,142.08,6.86
ICE,7.87,121.55,60120.78,0.27,48.86,210557.81,6.42,164.06,8.69
ICE,9.86,142.78,78131.77,0.2,29.76,165397.8,7.5,216.11,10.38
EV,12.58,-0.74,40813.13,0.08,61.22,156314.89,7.26,277.99,14.77
ICE,9.33,163.74,94637.55,0.16,45.13,257893.14,10.72,192.13,7.3
EV,10.75,10.79,53437.88,0.13,63.33,122736.91,5.48,284.37,12.19
EV,14.31,-1.96,52604.42,0.09,74.8,130766.57,6.37,316.72,11.87
ICE,9.38,142.49,74601.33,0.3,57.06,152386.48,10.54,214.19,5.59
ICE,4.21,215.1,86200.58,0.3,53.15,72800.62,7.45,237.97,9.65
ICE,7.31,153.45,99443.85,0.21,61.24,118221.8,8.47,266.92,7.61
EV,12.36,-7.2,41715.03,0.1,69.05,143658.47,5.63,167.41,15.33
EV,16.03,-3.51,64841.16,0.1,74.94,184795.2,5.6,314.06,13.22
EV,15.02,-1.58,50341.52,0.14,59.2,170967.59,4.92,288.71,11.22
EV,17.12,-1.11,61243.53,0.13,71.02,126863.99,7.35,310.12,8.44
ICE,8.17,147.28,81205.43,0.26,69.73,194135.75,10.64,198.26,10.89
EV,16.44,2.02,56791.43,0.09,67.69,121464.47,5.68,326.64,9.75
ICE,7.53,106.18,87735.79,0.27,45.12,227846.01,8.67,163.7,12.75
EV,15.65,-3.13,58250.98,0.08,62.62,171871.91,7.38,348.39,9.84
ICE,6.3,172.92,103357.41,0.29,41.14,189847.36,10.68,178.43,11.67
EV,13.7,12.9,58925.97,0.18,75.04,142291.65,3.51,336.34,10.84
EV,13.37,1.41,49240.49,0.14,68.39,111792.43,6.13,287.66,14.53
ICE,7.78,186.35,88319.58,0.22,48.41,167237.48,10.03,200.71,11.74
EV,13.69,0.97,69872.76,0.12,49.14,85388.08,7.16,274.47,14.66
EV,17.95,-9.01,56170.06,0.11,70.47,161263.68,4.96,306.32,10.89
ICE,7.39,119.87,85807.22,0.3,52.39,147573.7,7.56,138.1,14.85
ICE,9.5,106.27,65367.01,0.19,51.02,188983.98,7.72,239.93,9.2
ICE,7.89,114.63,57350.1,0.24,38.93,174968.29,9.88,238.23,8.27
ICE,6.7,125.73,59851.86,0.27,54.83,202552.66,11.67,202.75,10.71
EV,14.99,4.77,33451.13,0.13,75.65,197712.11,4.75,311.91,11.55
EV,11.99,2.26,43479.11,0.12,83.89,190775.68,5.33,300.39,12.37
EV,15.37,-2.77,40460.61,0.08,66.53,186077.3,6.05,313.88,10.03
EV,14.04,-14.61,45426.98,0.14,71.96,142381.45,4.82,330.4,8.73
ICE,8.55,114.22,69634.18,0.24,47.72,156473.87,8.03,187.14,8.58
ICE,7.33,165.56,92641.61,0.26,67.56,184029.43,10.04,198.87,12.38
ICE,6.94,84.56,94906.1,0.2,47.06,171177.5,5.55,214.65,14.12
ICE,4.42,161.38,65787.04,0.31,57.64,160660.64,8.67,240.44,7.92
EV,13.85,-14.36,50549.34,0.12,77.66,178573.86,4.98,284.45,13.29
ICE,7.38,117.41,96394.39,0.21,33.45,148467.63,8.01,175.53,10.91
ICE,7.46,184.15,63064.03,0.26,65.16,174808.37,8.03,223.81,9.77
EV,17.56,1.85,53295.09,0.09,66.27,181804.31,5.53,241.31,12.32
ICE,7.81,129.83,90559.47,0.22,39.58,218429.6,9.94,181.92,10.66
EV,16.03,-1.25,38517.37,0.18,78.76,183556.5,6.18,359.0,11.92
ICE,6.3,163.21,74172.39,0.21,57.01,177931.48,8.56,221.36,9.23
ICE,8.3,174.85,60297.08,0.37,28.37,193971.71,12.39,201.95,6.96
ICE,5.53,120.17,71567.56,0.16,49.65,153540.48,10.53,153.68,7.97
EV,16.74,-3.23,43646.38,0.18,86.35,143583.74,6.91,324.27,17.17
EV,17.88,0.45,47411.46,0.13,67.64,153777.04,6.54,276.98,8.91
EV,17.48,-3.28,50693.44,0.11,79.43,159344.73,4.57,368.28,11.92
ICE,6.98,168.49,103220.12,0.2,65.59,168403.15,9.32,209.78,8.0
ICE,6.03,141.25,81147.77,0.22,36.89,177450.0,10.42,205.68,12.3
ICE,9.81,148.18,51307.23,0.22,63.46,185510.34,9.7,191.67,12.32
ICE,9.59,115.35,83443.59,0.23,48.08,174098.47,6.69,210.07,12.64
ICE,8.36,144.98,69481.26,0.31,36.68,191488.81,8.61,257.4,9.7
EV,14.4,-0.19,51523.55,0.13,73.0,125615.29,5.64,223.88,13.89
ICE,5.81,159.11,54913.93,0.31,65.8,146210.5,10.39,193.76,7.59
ICE,8.62,167.11,57740.31,0.26,60.38,179536.41,8.99,162.28,10.28
EV,15.09,2.24,57505.79,0.11,79.28,138361.05,6.29,296.44,10.47
ICE,3.99,120.65,88658.94,0.29,82.86,183288.12,10.74,155.55,10.5
EV,13.6,1.2,49358.12,0.07,84.14,152459.66,5.28,364.46,11.75
EV,14.91,5.63,48131.04,0.11,66.14,99997.1,5.63,348.79,12.67
EV,15.06,5.38,46403.7,0.09,49.5,165303.73,5.72,307.22,14.51
ICE,4.94,173.54,93474.54,0.29,54.31,102741.91,7.53,189.18,10.71
EV,15.23,0.67,32741.93,0.09,90.93,130767.56,6.11,261.25,11.37
ICE,6.66,124.35,76203.7,0.26,39.12,125738.2,11.7,220.83,8.94
ICE,5.97,183.08,71741.99,0.3,54.99,205327.81,8.95,281.39,7.23
EV,13.65,2.47,43418.84,0.11,74.6,160249.81,5.64,352.5,11.15
EV,13.28,2.57,59758.17,0.14,72.17,118330.82,5.05,278.43,13.28
ICE,7.46,150.05,79026.93,0.23,29.56,143131.29,8.28,178.87,10.13
ICE,7.69,133.9,89949.1,0.26,50.69,268321.84,7.92,289.26,7.92
ICE,9.05,161.42,63035.19,0.34,36.41,180506.18,8.33,145.46,9.77
ICE,8.1,166.57,53164.81,0.22,54.64,145163.07,9.85,267.4,8.97
EV,15.88,13.22,58760.47,0.12,65.4,200203.26,6.88,290.52,13.25
EV,15.01,5.93,44533.2,0.13,61.21,166030.95,5.63,294.51,13.25
ICE,7.84,175.59,64512.0,0.22,50.81,212109.1,10.25,172.35,8.37
EV,12.98,-1.67,66999.57,0.13,63.21,126522.04,5.24,392.6,9.78
ICE,7.31,152.24,86206.31,0.28,57.18,149054.41,8.34,220.71,6.96
EV,12.13,3.05,45127.71,0.09,64.76,227637.27,6.74,311.81,14.12
ICE,7.85,114.36,73860.2,0.24,52.52,170104.28,8.85,246.13,13.34
EV,13.99,1.64,57181.86,0.11,86.56,152934.82,4.54,365.49,12.56
EV,15.82,-0.1,55628.81,0.06,59.54,180685.24,6.15,279.79,12.59
ICE,9.02,151.21,74758.63,0.33,53.62,155114.9,8.42,211.04,10.38
ICE,8.9,112.2,89488.74,0.22,49.49,158064.13,9.84,215.11,8.77
EV,14.44,0.09,46334.93,0.13,59.49,190863.97,5.56,242.51,9.51
EV,14.55,-4.95,27881.38,0.1,65.21,181212.93,5.94,302.15,12.11
EV,14.25,1.01,34644.28,0.13,60.5,135069.82,5.07,327.15,14.76
EV,17.19,4.26,45205.07,0.1,74.25,161004.42,6.44,319.75,10.63
ICE,5.66,148.46,77090.08,0.26,51.93,214614.35,9.62,172.95,10.58
EV,15.06,0.11,53011.07,0.09,77.39,130519.06,7.23,208.31,14.38
ICE,8.38,127.36,55081.93,0.2,40.71,182173.61,7.58,236.2,12.54
ICE,9.88,146.5,70024.52,0.27,43.66,163867.41,7.16,200.65,11.73
ICE,7.34,120.22,80273.46,0.28,45.68,134582.71,11.48,228.64,7.17
ICE,6.16,131.71,75530.76,0.27,73.98,206794.72,10.0,236.96,10.24
ICE,4.31,150.89,73033.97,0.27,34.95,145713.11,7.68,161.41,11.51
ICE,6.61,165.59,99843.89,0.38,41.99,206694.21,8.54,236.52,14.25
EV,11.79,-0.75,51733.42,0.12,73.81,181016.43,5.98,301.71,9.11
EV,15.58,-0.11,39861.04,0.13,59.3,118634.12,5.7,223.37,11.2
ICE,7.13,97.64,59082.07,0.29,53.38,159799.31,6.95,203.19,11.05
EV,15.23,1.66,56255.08,0.22,93.88,163514.87,7.05,264.3,13.29
EV,16.48,8.42,43052.87,0.14,72.05,164972.87,6.95,338.32,11.6
EV,14.92,-2.68,53676.49,0.15,70.81,161837.4,4.04,364.96,14.22
EV,19.12,2.69,60473.18,0.1,83.7,151017.08,4.86,278.58,12.57
EV,16.92,-8.07,55017.83,0.17,71.35,147963.86,7.27,204.54,7.12
EV,14.08,-7.57,39959.45,0.12,62.92,204566.96,7.67,309.59,13.27
ICE,3.77,178.74,87257.62,0.21,57.86,184030.51,11.53,177.84,11.59
ICE,5.21,156.97,92744.67,0.28,35.18,170986.07,8.2,165.94,10.08
ICE,7.6,136.18,93493.42,0.22,25.29,169736.21,8.64,200.69,10.79
EV,16.3,4.47,45479.1,0.17,51.41,161979.53,4.7,279.65,10.04
EV,12.56,-5.9,53350.58,0.14,59.63,133074.11,6.02,349.72,13.74
EV,18.26,-0.56,32214.12,0.09,72.91,182763.2,6.07,343.7,13.67
EV,16.72,2.71,56835.69,0.13,67.51,155027.1,4.65,274.86,12.86
ICE,6.34,164.15,105684.57,0.27,36.71,167310.86,8.73,147.97,10.38
ICE,8.44,95.69,49077.15,0.17,47.85,163990.31,7.89,193.77,13.38
EV,12.39,2.0,44970.25,0.14,50.63,172669.98,6.78,210.97,12.38
ICE,5.25,159.37,89737.22,0.17,60.67,227845.35,8.19,237.39,9.15
ICE,7.93,187.35,90906.84,0.28,30.21,214334.05,8.67,129.77,10.06
ICE,8.64,156.89,87830.31,0.24,31.48,252763.09,8.68,202.65,9.31
ICE,5.89,50.8,80267.48,0.3,43.33,205157.56,6.87,136.32,12.46
ICE,5.66,140.11,80515.91,0.33,48.73,162220.82,7.79,216.77,8.9
EV,17.18,-0.65,63213.04,0.09,75.2,117800.16,5.67,243.96,11.04
ICE,7.98,164.23,73382.35,0.22,49.48,200272.46,7.77,224.83,12.28
ICE,7.32,128.25,96491.96,0.25,58.84,186882.36,9.42,219.52,10.53
ICE,8.25,119.84,68767.82,0.27,36.45,240466.94,7.46,143.39,10.45
EV,14.06,-0.93,43506.27,0.13,56.27,238069.74,6.52,299.4,13.84
EV,14.93,6.55,49689.41,0.1,63.92,188131.96,4.65,441.21,12.93
ICE,7.82,94.18,94789.23,0.32,56.1,178753.59,9.35,207.89,10.62
EV,15.86,-9.38,55950.29,0.14,67.34,101233.68,5.91,305.7,7.77
EV,13.28,0.92,64436.32,0.1,65.41,212479.81,6.66,300.09,10.89
EV,17.38,4.6,52205.41,0.09,71.49,120642.35,4.27,327.07,8.0
ICE,8.97,116.55,68946.48,0.25,46.5,126714.97,8.31,232.19,10.49
EV,15.36,-7.03,58745.17,0.12,72.79,113023.79,7.2,280.69,10.53
ICE,7.8,143.64,70326.56,0.24,46.01,164880.41,7.12,198.34,11.65
EV,20.05,4.82,27617.69,0.13,79.94,77889.94,6.19,234.0,7.69
ICE,8.84,117.46,109234.45,0.22,53.99,231139.41,9.85,268.15,7.4
ICE,8.08,138.2,80115.1,0.26,50.74,153002.49,9.35,169.27,11.99
EV,18.75,-4.77,48154.75,0.1,67.46,156617.51,4.3,263.44,14.28
ICE,10.21,171.35,88566.54,0.26,51.05,208299.49,9.7,202.55,11.32
ICE,8.59,153.02,78874.59,0.27,49.39,244075.95,8.27,179.36,11.24
ICE,5.89,123.36,78520.87,0.29,56.29,179535.6,6.96,234.85,11.19
ICE,6.92,146.72,73255.25,0.27,38.78,243689.0,6.06,220.23,9.37
ICE,6.85,128.56,81071.31,0.36,67.82,188032.97,10.53,213.32,5.91
ICE,10.25,129.59,86893.63,0.31,44.77,128935.27,11.35,205.73,12.69
ICE,8.45,159.2,62212.78,0.15,44.14,228602.62,7.3,173.58,7.64
EV,15.49,2.18,54920.19,0.09,89.48,98942.93,5.86,342.58,17.17
ICE,9.91,100.77,105957.77,0.25,46.29,253284.78,8.9,161.31,9.79
EV,16.66,2.33,76207.93,0.08,62.51,120602.23,6.16,263.26,11.71
EV,16.74,-12.12,40745.75,0.05,61.04,131264.69,5.81,348.62,13.86
EV,14.84,-2.98,40510.83,0.1,73.27,165926.83,5.0,367.6,11.44
ICE,7.68,197.02,60818.96,0.28,53.5,151767.84,11.41,244.66,10.82
EV,14.11,0.1,62000.79,0.13,74.22,153401.83,4.23,349.71,9.86
EV,18.7,-8.34,40264.54,0.1,55.84,187630.15,5.58,273.41,15.0
EV,12.79,5.74,53904.65,0.12,60.49,139942.68,5.63,264.43,8.99
EV,13.65,-0.99,53525.05,0.13,60.61,175533.72,5.42,351.51,11.27
ICE,7.35,143.17,75040.12,0.24,32.15,132331.23,8.21,211.12,14.44
ICE,7.67,138.5,77407.8,0.24,56.74,216886.94,8.67,175.52,7.58
EV,15.56,4.42,47985.08,0.11,84.42,181158.18,4.77,259.62,12.44
ICE,7.47,176.34,75433.13,0.31,43.31,228128.51,9.49,214.43,5.84
ICE,4.84,134.64,93338.95,0.18,61.08,221455.44,7.17,225.45,10.09
EV,16.3,1.35,56404.8,0.1,70.83,150033.3,7.3,227.8,11.71
ICE,4.71,174.75,81700.02,0.27,50.58,181271.36,8.09,138.71,8.19
EV,14.9,-0.97,55472.65,0.09,80.58,171855.56,6.88,420.24,13.17
EV,11.44,1.62,58970.66,0.08,76.86,176960.07,5.21,281.23,6.98
ICE,5.31,115.21,78370.75,0.31,42.68,199317.2,9.92,201.45,8.11
EV,13.04,10.29,52112.84,0.15,82.91,141699.85,5.39,247.37,14.1
EV,11.95,-4.6,52522.4,0.11,64.99,124178.13,4.68,330.04,13.29
EV,16.5,9.27,41485.94,0.05,61.02,104913.88,6.34,333.5,14.26
ICE,6.48,83.16,84496.92,0.26,72.2,184443.53,10.48,194.8,12.85
EV,16.63,2.79,54977.43,0.09,73.83,155654.27,6.61,202.67,10.3
ICE,9.91,158.12,55641.23,0.28,60.13,143413.85,9.2,299.01,10.1
ICE,11.65,126.93,73105.92,0.19,54.8,220682.62,7.28,241.08,11.3
ICE,6.64,145.52,96660.17,0.21,54.01,234441.49,5.54,262.06,8.66
EV,13.99,5.95,44739.65,0.16,80.25,133159.86,5.83,254.52,9.34
EV,16.93,5.11,65805.41,0.09,65.67,173838.01,7.58,262.88,8.46
ICE,8.73,132.24,56734.61,0.27,41.79,189983.7,10.79,212.79,8.82
ICE,7.05,118.75,69564.79,0.3,57.42,272163.59,7.73,199.94,13.4
EV,18.05,-3.23,46920.38,0.18,74.73,140097.29,5.45,288.31,13.43
ICE,6.93,167.45,71919.11,0.23,65.46,267102.17,5.84,198.71,12.67
EV,13.89,8.88,58333.34,0.13,95.49,135893.9,5.25,284.62,10.49
ICE,9.23,135.2,55165.41,0.23,56.06,138203.0,8.16,201.67,10.97
EV,16.42,0.22,47941.41,0.15,70.15,206653.11,5.97,344.57,11.25
EV,17.06,1.87,49879.11,0.15,59.08,105510.47,6.3,348.34,9.95
EV,15.81,-7.78,59216.5,0.06,69.42,162716.68,7.01,226.44,13.35
EV,17.88,-2.29,46915.17,0.09,64.02,144071.39,5.82,367.46,11.98
EV,14.12,0.73,43644.42,0.13,50.86,193258.27,4.57,291.1,12.66
EV,14.96,-2.73,46307.23,0.12,72.27,101039.55,8.15,315.31,11.89
ICE,8.55,126.83,87365.06,0.28,45.49,179372.48,7.78,205.76,6.03
ICE,6.6,126.34,90190.72,0.3,47.06,181026.89,7.27,168.06,6.65
EV,17.06,-1.34,68325.57,0.08,73.07,76940.63,4.58,305.88,12.63
EV,15.72,-0.23,59653.97,0.08,75.72,114632.3,6.58,360.29,13.9
ICE,7.9,116.79,98112.55,0.3,44.03,101930.3,9.17,272.69,10.14
EV,16.95,0.97,34513.82,0.1,70.19,124917.25,4.83,322.21,13.31
ICE,6.12,146.85,67704.27,0.21,42.75,228943.19,8.41,164.02,5.91
EV,14.2,-0.79,65337.28,0.18,90.98,105076.6,7.79,338.21,12.7
ICE,6.76,154.67,70029.49,0.18,43.89,126865.93,7.06,167.86,7.95
ICE,6.62,149.92,83568.13,0.28,52.17,244722.74,9.26,211.57,10.51
EV,18.59,-8.74,56813.6,0.11,56.49,96182.37,6.26,267.86,8.69
EV,12.23,2.96,53400.51,0.11,58.06,197984.13,5.64,291.02,14.13
EV,17.13,-2.18,57682.07,0.1,64.31,108027.65,4.76,240.29,10.13
ICE,6.07,124.33,63903.63,0.27,59.08,155146.73,8.71,129.12,14.52
EV,13.92,1.84,42575.16,0.08,85.93,154075.78,4.96,318.63,12.83
ICE,9.77,176.5,86181.07,0.36,51.68,228056.68,9.97,216.06,12.26
ICE,5.91,153.37,73295.34,0.28,34.98,276465.61,9.25,228.26,13.1
EV,15.14,-5.36,62374.38,0.15,63.86,133404.68,5.78,257.68,14.91
ICE,8.33,101.07,97640.16,0.28,44.75,245967.65,4.72,139.0,9.01
EV,16.58,-0.72,46129.0,0.1,79.01,156534.07,6.62,320.41,11.51
EV,12.5,-4.53,54666.71,0.19,77.9,128502.8,4.54,286.48,10.12
ICE,6.01,131.86,61551.75,0.31,60.76,197200.54,9.15,258.15,11.52
EV,18.79,2.82,37424.22,0.12,67.54,145481.58,5.85,294.31,13.45
ICE,7.55,158.52,81679.73,0.2,51.32,131362.49,8.32,167.75,9.39
EV,12.44,-0.84,54632.89,0.14,74.96,120222.66,5.61,292.97,15.04
ICE,7.97,129.11,83118.8,0.16,36.82,276734.23,5.36,216.66,12.49
EV,13.79,6.13,70884.43,0.12,67.69,189841.71,6.58,383.99,11.38
EV,13.09,-1.86,67193.78,0.04,72.86,163518.39,3.97,314.78,11.94
ICE,6.29,144.3,63355.86,0.21,49.75,210062.53,6.46,170.43,5.97
ICE,7.5,126.95,87939.5,0.29,55.62,194968.67,11.06,183.33,11.17
EV,18.37,-7.63,50253.88,0.09,78.81,128656.13,6.4,312.53,13.14
EV,16.15,-4.99,36223.82,0.14,69.0,211076.21,4.42,300.59,12.16
